     x              y              y-prima
   2.54999995      -1.60536933     -0.442507595    
   2.55500007      -1.60754561     -0.428033710    
   2.55999994      -1.60964966     -0.413592845    
   2.56500006      -1.61168158     -0.399184853    
   2.56999993      -1.61364150     -0.384809613    
   2.57500005      -1.61552966     -0.370467007    
   2.57999992      -1.61734617     -0.356156856    
   2.58500004      -1.61909127     -0.341878980    
   2.58999991      -1.62076509     -0.327633232    
   2.59500003      -1.62236774     -0.313419431    
   2.59999990      -1.62389934     -0.299237370    
   2.60500002      -1.62536013     -0.285086900    
   2.60999990      -1.62675023     -0.270967782    
   2.61500001      -1.62806988     -0.256879836    
   2.61999989      -1.62931907     -0.242822826    
   2.62500000      -1.63049805     -0.228796542    
   2.62999988      -1.63160706     -0.214800760    
   2.63499999      -1.63264608     -0.200835243    
   2.63999987      -1.63361537     -0.186899751    
   2.64499998      -1.63451505     -0.172994047    
   2.64999986      -1.63534534     -0.159117863    
   2.65499997      -1.63610625     -0.145270959    
   2.65999985      -1.63679802     -0.131453067    
   2.66499996      -1.63742077     -0.117663912    
   2.67000008      -1.63797474     -0.103903227    
   2.67499995      -1.63845992      -9.01707262E-02
   2.68000007      -1.63887656      -7.64661357E-02
   2.68499994      -1.63922465      -6.27891570E-02
   2.69000006      -1.63950443      -4.91394959E-02
   2.69499993      -1.63971603      -3.55168507E-02
   2.70000005      -1.63985956      -2.19209194E-02
   2.70499992      -1.63993526      -8.35139025E-03
   2.71000004      -1.63994312       5.19204931E-03
   2.71499991      -1.63988340       1.87097192E-02
   2.72000003      -1.63975608       3.22019421E-02
   2.72499990      -1.63956141       4.56690453E-02
   2.73000002      -1.63929951       5.91113605E-02
   2.73499990      -1.63897038       7.25292265E-02
   2.74000001      -1.63857424       8.59229788E-02
   2.74499989      -1.63811123       9.92929637E-02
   2.75000000      -1.63758135      0.112639531    
   2.75499988      -1.63698483      0.125963032    
   2.75999999      -1.63632178      0.139263809    
   2.76499987      -1.63559222      0.152542233    
   2.76999998      -1.63479638      0.165798679    
   2.77499986      -1.63393426      0.179033488    
   2.77999997      -1.63300610      0.192247048    
   2.78499985      -1.63201189      0.205439717    
   2.78999996      -1.63095176      0.218611881    
   2.79500008      -1.62982583      0.231763914    
   2.79999995      -1.62863421      0.244896203    
   2.80500007      -1.62737691      0.258009136    
   2.80999994      -1.62605417      0.271103084    
   2.81500006      -1.62466598      0.284178436    
   2.81999993      -1.62321246      0.297235608    
   2.82500005      -1.62169373      0.310274988    
   2.82999992      -1.62010980      0.323296964    
   2.83500004      -1.61846077      0.336301923    
   2.83999991      -1.61674678      0.349290311    
   2.84500003      -1.61496794      0.362262517    
   2.84999990      -1.61312425      0.375218928    
   2.85500002      -1.61121583      0.388159961    
   2.85999990      -1.60924268      0.401086062    
   2.86500001      -1.60720491      0.413997620    
   2.86999989      -1.60510266      0.426895052    
   2.87500000      -1.60293591      0.439778775    
   2.87999988      -1.60070479      0.452649206    
   2.88499999      -1.59840941      0.465506792    
   2.88999987      -1.59604979      0.478351951    
