  z                 v                vq               dif
   11.3128233      0.441429496      0.441976309      0.123719983    
   11.3421764      0.440289766      0.440832496      0.123114809    
   11.3715296      0.439156085      0.439694583      0.122470960    
   11.4008818      0.438028514      0.438562572      0.121774554    
   11.4302349      0.436906189      0.437436342      0.121195577    
   11.4595881      0.435789615      0.436315864      0.120612025    
   11.4889412      0.434678704      0.435201108      0.120037585    
   11.5182943      0.433573663      0.434092045      0.119417436    
   11.5476465      0.432474434      0.432988673      0.118765019    
   11.5769997      0.431380421      0.431890845      0.118183650    
   11.6063528      0.430291831      0.430798560      0.117625482    
   11.6357059      0.429208994      0.429711789      0.117007494    
   11.6650581      0.428131342      0.428630531      0.116461352    
   11.6944113      0.427059203      0.427554667      0.115883105    
   11.7237644      0.425992370      0.426484168      0.115314461    
   11.7531176      0.424931049      0.425419033      0.114706486    
   11.7824707      0.423874795      0.424359202      0.114150219    
   11.8118229      0.422823697      0.423304677      0.113624938    
   11.8411760      0.421777904      0.422255367      0.113074467    
   11.8705292      0.420737237      0.421211213      0.112526953    
   11.8998823      0.419701755      0.420172215      0.111968249    
   11.9292355      0.418671519      0.419138342      0.111376971    
   11.9585876      0.417646050      0.418109566      0.110859819    
   11.9879408      0.416625559      0.417085797      0.110345945    
   12.0172939      0.415610194      0.416067034      0.109799564    
   12.0466471      0.414599657      0.415053248      0.109285094    
   12.0760002      0.413594037      0.414044380      0.108766817    
   12.1053524      0.412593424      0.413040429      0.108223073    
   12.1347055      0.411597520      0.412041306      0.107704341    
   12.1640587      0.410606325      0.411047012      0.107210837    
   12.1934118      0.409619987      0.410057515      0.106699154    
   12.2227640      0.408638358      0.409072787      0.106198326    
   12.2521172      0.407661378      0.408092737      0.105701171    
   12.2814703      0.406689227      0.407117367      0.105163820    
   12.3108234      0.405721158      0.406146675      0.104769431    
   12.3401766      0.404758424      0.405180573      0.104188092    
   12.3695288      0.403799921      0.404219121      0.103705995    
   12.3988819      0.402845979      0.403262168      0.103205673    
   12.4282351      0.401896298      0.402309746      0.102768481    
   12.4575882      0.400951117      0.401361793      0.102320649    
   12.4869413      0.400010735      0.400418311      0.101787694    
   12.5162935      0.399074465      0.399479300      0.101340607    
   12.5456467      0.398142397      0.398544610      0.100920230    
   12.5749998      0.397215366      0.397614330      0.100339361    
   12.6043530      0.396291852      0.396688342       9.99500230E-02
   12.6337061      0.395372778      0.395766675       9.95276570E-02
   12.6630583      0.394458383      0.394849330       9.90116596E-02
