 x   y1   y2   y3   y4
  0.719999969      0.707228601      -1.62921047      -2.20476294      -4.37566757    
  0.729999959      0.690688312      -1.67874515      -2.24822521      -4.31597662    
  0.740000010      0.673655808      -1.72764587      -2.29106617      -4.25137901    
  0.750000000      0.656137824      -1.77582753      -2.33323669      -4.18192863    
  0.759999990      0.638141930      -1.82320678      -2.37468863      -4.10768652    
  0.769999981      0.619676590      -1.86970198      -2.41537452      -4.02872133    
  0.779999971      0.600751102      -1.91523349      -2.45524740      -3.94510865    
  0.789999962      0.581375420      -1.95972359      -2.49426126      -3.85693049    
  0.799999952      0.561560333      -2.00309658      -2.53237104      -3.76427627    
  0.810000002      0.541317463      -2.04527879      -2.56953216      -3.66724133    
  0.819999993      0.520658970      -2.08619905      -2.60570145      -3.56592798    
  0.829999983      0.499597907      -2.12578845      -2.64083672      -3.46044421    
  0.839999974      0.478147864      -2.16398072      -2.67489672      -3.35090399    
  0.849999964      0.456323147      -2.20071149      -2.70784163      -3.23742747    
  0.859999955      0.434138685      -2.23591948      -2.73963261      -3.12014008    
  0.870000005      0.411610007      -2.26954579      -2.77023220      -2.99917269    
  0.879999995      0.388753235      -2.30153418      -2.79960418      -2.87466145    
  0.889999986      0.365584970      -2.33183122      -2.82771397      -2.74674726    
  0.899999976      0.342122406      -2.36038637      -2.85452819      -2.61557603    
  0.909999967      0.318383217      -2.38715172      -2.88001513      -2.48129797    
  0.919999957      0.294385493      -2.41208243      -2.90414429      -2.34406781    
  0.930000007      0.270147830      -2.43513656      -2.92688704      -2.20404410    
  0.939999998      0.245689169      -2.45627499      -2.94821644      -2.06138945    
  0.949999988      0.221028849      -2.47546172      -2.96810675      -1.91627002    
  0.959999979      0.196186557      -2.49266386      -2.98653412      -1.76885545    
  0.969999969      0.171182290      -2.50785136      -3.00347662      -1.61931837    
  0.979999959      0.146036342      -2.52099776      -3.01891398      -1.46783435    
  0.989999950      0.120769233      -2.53207922      -3.03282738      -1.31458175    
   1.00000000       9.54017192E-02  -2.54107523      -3.04520035      -1.15974116    
   1.00999999       6.99547455E-02  -2.54796839      -3.05601764      -1.00349545    
   1.01999998       4.44494113E-02  -2.55274463      -3.06526613     -0.846029341    
   1.02999997       1.89069454E-02  -2.55539298      -3.07293463     -0.687529266    
   1.03999996      -6.65132981E-03  -2.55590558      -3.07901382     -0.528183103    
   1.04999995      -3.22040319E-02  -2.55427814      -3.08349609     -0.368179798    
   1.05999994      -5.77297509E-02  -2.55050898      -3.08637595     -0.207709283    
   1.06999993      -8.32070783E-02  -2.54460001      -3.08764935      -4.69620973E-02
   1.07999992     -0.108614631      -2.53655624      -3.08731484      0.113870800    
   1.09000003     -0.133931100      -2.52638578      -3.08537245      0.274598330    
   1.10000002     -0.159135282      -2.51410007      -3.08182406      0.435029536    
   1.11000001     -0.184206098      -2.49971366      -3.07667351      0.594973862    
   1.12000000     -0.209122613      -2.48324418      -3.06992674      0.754241288    
   1.13000000     -0.233864099      -2.46471238      -3.06159163      0.912642777    
   1.13999999     -0.258410066      -2.44414210      -3.05167747       1.06999040    
   1.14999998     -0.282740235      -2.42156005      -3.04019594       1.22609770    
   1.15999997     -0.306834668      -2.39699650      -3.02716041       1.38077962    
   1.16999996     -0.330673665      -2.37048411      -3.01258588       1.53385329    
   1.17999995     -0.354237944      -2.34205890      -2.99648929       1.68513775    
   1.18999994     -0.377508581      -2.31175971      -2.97888970       1.83445454    
   1.19999993     -0.400467038      -2.27962828      -2.95980740       1.98162782    
   1.20999992     -0.423095196      -2.24570894      -2.93926477       2.12648463    
   1.22000003     -0.445375413      -2.21004891      -2.91728592       2.26885509    
   1.23000002     -0.467290521      -2.17269850      -2.89389658       2.40857267    
   1.24000001     -0.488823891      -2.13371015      -2.86912394       2.54547429    
   1.25000000     -0.509959459      -2.09313917      -2.84299707       2.67940092    
   1.25999999     -0.530681610      -2.05104327      -2.81554651       2.81019735    
   1.26999998     -0.550975442      -2.00748277      -2.78680420       2.93771267    
   1.27999997     -0.570826590      -1.96252048      -2.75680375       3.06180048    
   1.28999996     -0.590221405      -1.91622138      -2.72558022       3.18231916    
   1.29999995     -0.609146833      -1.86865294      -2.69316983       3.29913163    
