 x   y1   y2   y3   y4
  0.969999969      0.171201691      -2.50781298      -3.00351739      -1.61948657    
  0.979999959      0.146056116      -2.52096057      -3.01895642      -1.46800542    
  0.989999950      0.120789371      -2.53204346      -3.03287172      -1.31475556    
   1.00000000       9.54222083E-02  -2.54104090      -3.04524636      -1.15991747    
   1.00999999       6.99755698E-02  -2.54793572      -3.05606532      -1.00367415    
   1.01999998       4.44705561E-02  -2.55271363      -3.06531572     -0.846210241    
   1.02999997       1.89283937E-02  -2.55536366      -3.07298613     -0.687712193    
   1.03999996      -6.62959600E-03  -2.55587816      -3.07906723     -0.528367877    
   1.04999995      -3.21820341E-02  -2.55425239      -3.08355141     -0.368366212    
   1.05999994      -5.77075034E-02  -2.55048513      -3.08643293     -0.207897112    
   1.06999993      -8.31845999E-02  -2.54457808      -3.08770823      -4.71511483E-02
   1.07999992     -0.108591944      -2.53653622      -3.08737564      0.113680750    
   1.09000003     -0.133908227      -2.52636790      -3.08543491      0.274407536    
   1.10000002     -0.159112245      -2.51408434      -3.08188844      0.434838206    
   1.11000001     -0.184182912      -2.49970007      -3.07673979      0.594782233    
   1.12000000     -0.209099308      -2.48323274      -3.06999493      0.754049659    
   1.13000000     -0.233840689      -2.46470308      -3.06166172      0.912451386    
   1.13999999     -0.258386552      -2.44413519      -3.05174947       1.06979954    
   1.14999998     -0.282716662      -2.42155576      -3.04026985       1.22590756    
   1.15999997     -0.306811064      -2.39699459      -3.02723598       1.38059044    
   1.16999996     -0.330650061      -2.37048483      -3.01266336       1.53366530    
   1.17999995     -0.354214370      -2.34206223      -2.99656868       1.68495131    
   1.18999994     -0.377485067      -2.31176567      -2.97897077       1.83426988    
   1.19999993     -0.400443584      -2.27963686      -2.95989037       1.98144531    
   1.20999992     -0.423071831      -2.24572015      -2.93934965       2.12630439    
   1.22000003     -0.445352167      -2.21006274      -2.91737270       2.26867747    
   1.23000002     -0.467267454      -2.17271471      -2.89398503       2.40839791    
   1.24000001     -0.488801003      -2.13372874      -2.86921406       2.54530287    
   1.25000000     -0.509936750      -2.09316015      -2.84308887       2.67923307    
   1.25999999     -0.530659139      -2.05106664      -2.81563997       2.81003332    
   1.26999998     -0.550953209      -2.00750875      -2.78689933       2.93755269    
   1.27999997     -0.570804656      -1.96254885      -2.75690031       3.06164479    
   1.28999996     -0.590199769      -1.91625214      -2.72567821       3.18216801    
   1.29999995     -0.609125495      -1.86868596      -2.69326925       3.29898524    
   1.30999994     -0.627569497      -1.81991994      -2.65971136       3.41196489    
   1.31999993     -0.645520151      -1.77002561      -2.62504339       3.52098036    
   1.32999992     -0.662966490      -1.71907675      -2.58930540       3.62591076    
   1.33999991     -0.679898381      -1.66714907      -2.55253911       3.72664070    
   1.35000002     -0.696306467      -1.61432016      -2.51478696       3.82306051    
   1.36000001     -0.712182045      -1.56066930      -2.47609258       3.91506696    
   1.37000000     -0.727517366      -1.50627768      -2.43650055       4.00256252    
   1.38000000     -0.742305398      -1.45122790      -2.39605665       4.08545685    
   1.38999999     -0.756540000      -1.39560413      -2.35480714       4.16366529    
   1.39999998     -0.770215869      -1.33949208      -2.31279922       4.23711061    
   1.40999997     -0.783328533      -1.28297865      -2.27008104       4.30572176    
   1.41999996     -0.795874417      -1.22615194      -2.22670126       4.36943531    
   1.42999995     -0.807850838      -1.16910124      -2.18270898       4.42819452    
   1.43999994     -0.819256008      -1.11191666      -2.13815403       4.48195076    
   1.44999993     -0.830089033      -1.05468941      -2.09308672       4.53066158    
   1.45999992     -0.840349972     -0.997511327      -2.04755759       4.57429314    
   1.46999991     -0.850039721     -0.940474808      -2.00161767       4.61281919    
   1.48000002     -0.859160244     -0.883672833      -1.95531821       4.64622068    
